"","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"1","phn","patient_pcp_information","","text","PHN","","","",NA,NA,"y","","",NA,NA,NA,NA,""
"2","last_name","patient_pcp_information","Patient Demographics","text","Patient Last Name","","","",NA,NA,"y","","y",NA,NA,NA,NA,""
"3","first_name","patient_pcp_information","","text","Patient First Name","","","",NA,NA,"y","","y",NA,NA,NA,NA,""
"4","dob","patient_pcp_information","","text","DOB","","","date_ymd",NA,NA,"y","","y",NA,NA,NA,NA,""
"5","phone","patient_pcp_information","","text","Patient Phone","","Use hyphens between sections 123-456-7890","phone",NA,NA,"","","",NA,NA,NA,NA,""
"6","email","patient_pcp_information","","text","Patient Email","","","email",NA,NA,"","","",NA,NA,NA,NA,""
"7","referring_pcp","patient_pcp_information","Primary Care Provider (PCP) Information","radio","Referring PCP","1, GP|2, Nurse Practitioner (NP)","","",NA,NA,"","","y",NA,NA,NA,NA,""
"8","referring_pcp_name","patient_pcp_information","","text","Referring PCP name","","last name, first name","",NA,NA,"y","","y",NA,NA,NA,NA,""
"9","referring_pcp_msp","patient_pcp_information","","text","Referring PCP MSP number","","","integer",NA,NA,"","","y",NA,NA,NA,NA,""
"10","referring_clinic","patient_pcp_information","","text","Referring clinic","","","",NA,NA,"","","y",NA,NA,NA,NA,""
"11","city","patient_pcp_information","","dropdown","PCP City","81, Victoria|1, Alert Bay|2, Black Creek|3, Bowser|4, Brentwood Bay|6, Campbell River|7, Cassidy|8, Castlegar|9, Cedar|10, Chemainus|11, Chetwynd|12, Chilanko Fork|13, Cobble Hill|14, Colwood|15, Comox|16, Coombs|91, Cortes Island|18, Courtenay|19, Cowichan Bay|20, Crofton|21, Cumberland|22, Dawson Creek|23, Deep Bay|24, Denman Island|25, Duncan|26, Errington|93, Fanny Bay|27, Fort St. John|28, Gabriola Island|90, Galiano|29, Hornby Island|31, Koksilah|45, Lady Minto|32, Ladysmith|33, Lake Cowichan|35, Lantzville|36, Lazo|37, Malahat|38, Mayne Island|40, Merville|41, Messachie Lake|42, Mill Bay|43, Moberly Lake|44, Nanaimo|46, Nanoose Bay|47, North Saanich|50, Parksville|51, Pender Island|52, Port Alberni|54, Port Alice|55, Port Hardy|56, Port McNeill|57, Powell River|58, Quadra Island|59, Qualicum|60, Qualicum Beach|61, Quathiaski Cove|62, Queen Charlotte City|63, Quesnel|65, Royston|66, Saanichton|67, Salt Spring Island|69, Shawnigan Lake|70, Sidney|71, Sointula|72, Sooke|73, St. Georges - Granada, West Indies|75, Tahsis|76, Thetis Island|77, Tofino|82, Weyburn|84, Woss|85, Youbou|92, Ucluelet|86, Unknown|99, Other","","",NA,NA,"","","",NA,NA,NA,NA,""
"12","other_city","patient_pcp_information","","text","Other city","","","",NA,NA,"","[city] = '99'","",NA,NA,NA,NA,""
"13","city_latitude","patient_pcp_information","","calc","City Latitude","if([city]=1, 50.5895753752962, 
if([city]=2, 49.8394956985018, 
if([city]=3, 49.4424216868679, 
if([city]=4, 48.5730171936812, 
if([city]=6, 50.0244, 
if([city]=7, 49.0543892886883, 
if([city]=8, 49.3256, 
if([city]=9, 49.0853, 
if([city]=10, 48.9311968861862, 
if([city]=11, 55.6972, 
if([city]=12, 52.1692724003629, 
if([city]=13, 48.6887803683946, 
if([city]=14, 48.4236, 
if([city]=15, 49.6733, 
if([city]=16, 49.3008, 
if([city]=91, 50.1178285296944, 
if([city]=18, 49.6878, 
if([city]=19, 48.7666, 
if([city]=20, 48.8654083971926, 
if([city]=21, 49.6206, 
if([city]=22, 55.7606, 
if([city]=23, 49.4538585618689, 
if([city]=24, 49.567670311891, 
if([city]=25, 48.7787, 
if([city]=26, 49.2874, 
if([city]=93, 49.4950862311109, 
if([city]=27, 56.2465, 
if([city]=28, 49.1606084203066, 
if([city]=90, 48.9306486215845, 
if([city]=29, 49.537656284934, 
if([city]=31, 48.7595790083773, 
if([city]=45, 48.862129261484, 
if([city]=32, 48.9975, 
if([city]=33, 48.8258, 
if([city]=35, 49.2512384586029, 
if([city]=36, 49.7183396839928, 
if([city]=37, 48.5456336295859, 
if([city]=38, 48.8409521536522, 
if([city]=40, 49.7929000906088, 
if([city]=41, 48.8171548600884, 
if([city]=42, 48.6517358780643, 
if([city]=43, 55.8275665832313, 
if([city]=44, 49.1642, 
if([city]=46, 49.2742079072023, 
if([city]=47, 48.6142, 
if([city]=50, 49.315, 
if([city]=51, 48.7897478424918, 
if([city]=52, 49.2339, 
if([city]=54, 50.4339483194549, 
if([city]=55, 50.7225, 
if([city]=56, 50.5903, 
if([city]=57, 49.8353, 
if([city]=58, 50.215440298451, 
if([city]=59, 49.3570200030669, 
if([city]=60, 49.35, 
if([city]=61, 50.0516062888886, 
if([city]=62, 53.2563533452003, 
if([city]=63, 52.9784, 
if([city]=65, 49.6405, 
if([city]=66, 48.484, 
if([city]=67, 48.8213218130781, 
if([city]=69, 48.6391944510965, 
if([city]=70, 48.6506, 
if([city]=71, 50.6311518913646, 
if([city]=72, 48.3761, 
if([city]=73, 48.3761, 
if([city]=75, 49.8481172751992, 
if([city]=76, 49.001055493456, 
if([city]=77, 49.1275, 
if([city]=81, 48.4283, 
if([city]=82, 49.6646199889226, 
if([city]=84, 50.2161271172222, 
if([city]=85, 48.8562, 
if([city]=92, 48.9358,""""
)))))))))) 
)))))))))) 
)))))))))) 
)))))))))) 
)))))))))) 
)))))))))) 
)))))))))) 
))))","","",NA,NA,"","","",NA,NA,NA,NA,"@HIDDEN"
